1,5.485
2,13.696
3,7.277
4,4.996
6,9.672
8,25.175
9,11.791
10,6.432
11,5.961
12,3.509
13,1.727
18,9.593
19,0
20,0
21,0
23,14.79
26,0
27,0
28,0
29,0
30,0
34,18.445
35,6.412
36,2.443
37,1.372
38,4.824
41,77.945
42,13.144
45,7.257
46,6.682
47,3.614
48,2.894
54,0
55,0
56,3.414
57,1.263
61,0
62,0
63,2.168
64,0
66,49.823
67,0
68,0
69,0
70,0
71,0
73,0
74,0
75,3.08
81,0
82,0
87,3.122
88,1.87
89,1.87
90,1.187
94,3.01
96,5.387
97,1.264
102,1.187
103,1.187
106,0
107,0
108,0
109,0
110,6.213
111,3.379
112,2.057
113,0.729
114,0.727
115,5.174
117,0
118,7.441
119,0
120,1.578
121,7.688
122,9.265
125,40.054
126,0
127,0
128,0
129,0
130,3.79
131,11.904
132,6.369
135,6.77
137,0
138,0
139,0
142,3.363
145,10.42
146,4.548
149,5.263
150,5.979
151,4.176
153,11.941
154,8.228
156,4.853
158,31.457
159,10.51
160,0
161,0
162,2.799
163,9.052
183,10.944
184,37.714
187,0
188,0
203,0
204,0
205,0
207,0
208,0
209,0
217,2.515
226,9.788
227,1.927
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
251,30.944
253,11.093
254,7.277
